,transaction_id,date,user_id,card_id,amount,use_chip,merchant_id,merchant_state,zip,user_age,gender,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,has_chip,num_cards_issued,credit_limit,Is_fraud
0,7475327,2010-01-01 00:01:00,1556,2972,77.00,Swipe Transaction,59935,ND,5499,30,Female,23679.0,48277.0,110153.0,740,4,Mastercard,Debit (Prepaid),True,2,55.0,No
1,7475328,2010-01-01 00:02:00,561,4575,14.57 ,Swipe Transaction,67570,IA,5311,48,Male,18076.0,36853.0,112139.0,834,5,Mastercard,Credit,True,1,9100.0,No
2,7475329,2010-01-01 00:02:00,1129,102,80.00 ,Swipe Transaction,27092,CA,4829,49,Male,16894.0,34449.0,36540.0,686,3,Mastercard,Debit,True,1,14802.0,No
3,7475331,2010-01-01 00:05:00,430,2860,200.00 ,Swipe Transaction,27092,IN,4829,52,Female,26168.0,53350.0,128676.0,685,5,Mastercard,Debit,False,2,37634.0,Yes
4,7475332,2010-01-01 00:06:00,848,3915,46.41 ,Swipe Transaction,13051,MD,5813,51,Male,33529.0,68362.0,96182.0,711,2,Visa,Debit,True,1,19113.0,No
5,7475333,2010-01-01 00:07:00,1807,165,4.81 ,Swipe Transaction,20519,NY,5942,47,Female,25537.0,52065.0,98613.0,828,5,Mastercard,Debit (Prepaid),True,1,89.0,No
6,7475334,2010-01-01 00:09:00,1556,2972,77.00 ,Swipe Transaction,59935,ND,5499,30,Female,23679.0,48277.0,110153.0,740,4,Mastercard,Debit (Prepaid),True,2,55.0,Yes
7,7475335,2010-01-01 00:14:00,1684,2140,26.46 ,Online Transaction,39021,CA,4784,56,Male,13668.0,27861.0,108313.0,782,5,Mastercard,Debit (Prepaid),True,1,46.0,No
8,7475336,2010-01-01 00:21:00,335,5131,261.58 ,Online Transaction,50292,CA,7801,46,Female,27696.0,56467.0,66565.0,688,3,Visa,Debit,True,1,23401.0,Yes
9,7475337,2010-01-01 00:21:00,351,1112,10.74 ,Swipe Transaction,3864,NY,5813,91,Female,13810.0,17150.0,375.0,807,6,Mastercard,Debit (Prepaid),True,2,54.0,Yes
10,7475338,2010-01-01 00:23:00,554,3912,3.51 ,Swipe Transaction,67570,TX,5311,59,Male,26170.0,53357.0,114266.0,690,5,Visa,Debit,False,1,25658.0,No
11,7475339,2010-01-01 00:23:00,605,5061,2.58 ,Swipe Transaction,75781,NY,5411,42,Male,23316.0,47542.0,2667.0,725,3,Visa,Debit,True,2,1484.0,No
12,7475340,2010-01-01 00:26:00,1556,2972,39.63 ,Swipe Transaction,59935,ND,5499,30,Female,23679.0,48277.0,110153.0,740,4,Mastercard,Debit (Prepaid),True,2,55.0,No
13,7475341,2010-01-01 00:27:00,1797,1127,43.33 ,Swipe Transaction,33326,HI,4121,67,Male,24971.0,30962.0,15336.0,743,5,Visa,Debit,True,2,23237.0,No
14,7475342,2010-01-01 00:30:00,114,3398,49.42 ,Swipe Transaction,61195,CA,5541,47,Female,16892.0,34441.0,907.0,725,4,Mastercard,Debit,True,2,27447.0,No
15,7475343,2010-01-01 00:31:00,1634,2464,1.09 ,Swipe Transaction,20519,TX,5942,66,Male,10091.0,20577.0,60152.0,825,4,Mastercard,Debit,True,2,8638.0,Yes
16,7475344,2010-01-01 00:32:00,646,2093,73.79 ,Swipe Transaction,1636,PA,7538,38,Female,21402.0,43634.0,73037.0,786,3,Mastercard,Credit,True,2,14500.0,No
17,7475345,2010-01-01 00:32:00,1129,5492,100.00 ,Swipe Transaction,27092,CA,4829,49,Male,16894.0,34449.0,36540.0,686,3,Mastercard,Debit,True,2,18109.0,No
18,7475346,2010-01-01 00:34:00,394,4717,26.04 ,Online Transaction,39021,CA,4784,52,Male,34138.0,69604.0,47193.0,684,4,Mastercard,Debit,True,1,23310.0,No
19,7475347,2010-01-01 00:36:00,114,3398,64.00,Swipe Transaction,61195,CA,5541,47,Female,16892.0,34441.0,907.0,725,4,Mastercard,Debit,True,2,27447.0,No
20,7475348,2010-01-01 00:36:00,1376,2182,54.27 ,Swipe Transaction,88945,TX,5813,49,Female,30418.0,62019.0,85666.0,543,4,Mastercard,Credit,True,2,13100.0,No
21,7475349,2010-01-01 00:37:00,1682,238,20.74 ,Swipe Transaction,21586,ND,5411,57,Male,23910.0,48750.0,117616.0,716,5,Mastercard,Credit,True,2,13200.0,No
22,7475350,2010-01-01 00:38:00,114,3398,64.00 ,Swipe Transaction,61195,CA,5541,47,Female,16892.0,34441.0,907.0,725,4,Mastercard,Debit,True,2,27447.0,No
23,7475351,2010-01-01 00:38:00,121,5952,57.54 ,Swipe Transaction,11901,WI,5300,34,Female,22277.0,45419.0,124370.0,721,3,Visa,Debit,True,1,18137.0,Yes
24,7475353,2010-01-01 00:43:00,301,3742,10.17 ,Online Transaction,39021,CA,4784,47,Male,25654.0,52308.0,135319.0,679,1,Visa,Credit,True,1,21000.0,No
25,7475354,2010-01-01 00:43:00,1755,4228,12.01 ,Swipe Transaction,28666,GA,5921,53,Male,13864.0,28269.0,66681.0,734,6,Visa,Debit,True,1,12519.0,No
26,7475356,2010-01-01 00:45:00,566,3439,16.86 ,Online Transaction,16798,CA,4121,60,Female,22680.0,46244.0,108449.0,814,5,Mastercard,Credit,True,1,11000.0,Yes
27,7475357,2010-01-01 00:46:00,379,3881,4.64 ,Swipe Transaction,50783,AL,5411,47,Female,21331.0,43496.0,114563.0,765,3,Mastercard,Debit,True,1,24232.0,No
28,7475358,2010-01-01 00:48:00,401,3004,669.88 ,Swipe Transaction,68977,CA,3174,81,Male,15239.0,28644.0,879.0,806,7,Mastercard,Debit,True,1,17691.0,Yes
29,7475359,2010-01-01 00:48:00,1127,3869,22.57 ,Online Transaction,39021,CA,4784,59,Male,17455.0,35590.0,92603.0,720,4,Visa,Debit,True,1,27646.0,No
30,7475360,2010-01-01 00:49:00,652,4293,2.40 ,Swipe Transaction,74624,CT,5411,82,Female,20065.0,22726.0,1692.0,784,6,Mastercard,Debit,True,1,19962.0,No
31,7475361,2010-01-01 00:53:00,1963,3317,40.35 ,Swipe Transaction,69972,CA,5814,98,Male,26137.0,33869.0,370.0,821,7,Mastercard,Debit,True,1,25297.0,No
32,7475362,2010-01-01 00:56:00,1357,4488,14.57 ,Swipe Transaction,78632,WA,5921,75,Female,16941.0,11410.0,0.0,812,7,Amex,Credit,True,1,8000.0,No
33,7475363,2010-01-01 00:57:00,285,3442,7.80 ,Swipe Transaction,81536,CA,5310,62,Male,16920.0,34496.0,33122.0,731,5,Visa,Debit (Prepaid),True,1,65.0,No
34,7475364,2010-01-01 00:57:00,1201,16,2.95 ,Swipe Transaction,61195,MA,5541,60,Male,56632.0,115465.0,195657.0,715,4,Visa,Debit,True,2,55693.0,Yes
